query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
2741,0,{211},1.0,0.9,0.9732080042362213
66657,1,{521},0.9,1.0,0.982941997051239
149181,3,{110},0.9,0.5,0.9796792209148407
143491,4,{531},1.0,1.0,0.9913832366466522
78330,1,{110},0.7,1.0,0.9808429777622223
101553,4,{331},0.5,1.0,0.9880407631397248
144027,3,{530},1.0,0.6,0.9916791617870331
62402,3,{521},1.0,1.0,0.9924883425235749
103395,6,{100},1.0,1.0,0.9986556351184845
8539,1,{511},1.0,1.0,0.9801192462444306
51137,0,{321},0.8,0.3,0.9902960002422333
115425,2,{711},1.0,1.0,0.9941170334815979
132613,3,{310},1.0,1.0,0.997548109292984
132315,3,{521},1.0,1.0,0.9941413462162018
17875,7,{433},1.0,1.0,0.9975863516330719
75914,0,{110},1.0,1.0,0.9946656644344329
43540,1,{431},1.0,1.0,0.9960667252540588
140522,0,{531},1.0,0.7,0.9890435039997101
38636,3,{321},1.0,0.6,0.99650998711586
85448,2,{511},1.0,1.0,0.9955925583839417
42156,4,{421},1.0,1.0,0.9953354597091675
55103,3,{210},1.0,1.0,0.9909732162952423
2448,2,{711},1.0,1.0,0.9887907981872559
112262,6,{100},1.0,0.7,0.9932122707366944
145086,0,{431},1.0,1.0,0.9820728719234466
77654,3,{410},1.0,1.0,0.9964106142520904
100762,3,{410},1.0,1.0,0.9964996576309204
